,Year,Center,Region,Opened?,Operating?,HP Number,Total Hours,New Hires
0,0.0,1.0,1.0,1.0,1.0,64.0,,
1,1.0,1.0,1.0,1.0,1.0,64.0,0.0,0.0
2,2.0,1.0,1.0,1.0,1.0,64.0,0.0,0.0
3,3.0,1.0,1.0,1.0,1.0,64.0,0.0,0.0
4,0.0,1.0,2.0,1.0,1.0,64.0,,
5,1.0,1.0,2.0,1.0,1.0,64.0,282352.17,0.0
6,2.0,1.0,2.0,1.0,1.0,64.0,297783.51,0.0
7,3.0,1.0,2.0,1.0,1.0,64.0,314362.02,0.0
8,0.0,1.0,3.0,1.0,1.0,64.0,,
9,1.0,1.0,3.0,1.0,1.0,64.0,0.0,0.0
10,2.0,1.0,3.0,1.0,1.0,64.0,0.0,0.0
11,3.0,1.0,3.0,1.0,1.0,64.0,60390.919,0.0
12,0.0,1.0,4.0,1.0,1.0,64.0,,
13,1.0,1.0,4.0,1.0,1.0,64.0,0.0,0.0
14,2.0,1.0,4.0,1.0,1.0,64.0,0.0,0.0
15,3.0,1.0,4.0,1.0,1.0,64.0,0.0,0.0
16,0.0,1.0,5.0,1.0,1.0,64.0,,
17,1.0,1.0,5.0,1.0,1.0,64.0,0.0,0.0
18,2.0,1.0,5.0,1.0,1.0,64.0,0.0,0.0
19,3.0,1.0,5.0,1.0,1.0,64.0,0.0,0.0
20,0.0,1.0,6.0,1.0,1.0,64.0,,
21,1.0,1.0,6.0,1.0,1.0,64.0,519153.85,0.0
22,2.0,1.0,6.0,1.0,1.0,64.0,545193.55,0.0
23,3.0,1.0,6.0,1.0,1.0,64.0,572505.09,0.0
24,0.0,1.0,7.0,1.0,1.0,64.0,,
25,1.0,1.0,7.0,1.0,1.0,64.0,0.0,0.0
26,2.0,1.0,7.0,1.0,1.0,64.0,0.0,0.0
27,3.0,1.0,7.0,1.0,1.0,64.0,0.0,0.0
28,0.0,2.0,1.0,1.0,1.0,33.0,,
29,1.0,2.0,1.0,1.0,1.0,33.0,0.0,0.0
30,2.0,2.0,1.0,1.0,1.0,33.0,0.0,0.0
31,3.0,2.0,1.0,1.0,1.0,33.0,0.0,0.0
32,0.0,2.0,2.0,1.0,1.0,33.0,,
33,1.0,2.0,2.0,1.0,1.0,33.0,0.0,0.0
34,2.0,2.0,2.0,1.0,1.0,33.0,0.0,0.0
35,3.0,2.0,2.0,1.0,1.0,33.0,0.0,0.0
36,0.0,2.0,3.0,1.0,1.0,33.0,,
37,1.0,2.0,3.0,1.0,1.0,33.0,0.0,0.0
38,2.0,2.0,3.0,1.0,1.0,33.0,0.0,0.0
39,3.0,2.0,3.0,1.0,1.0,33.0,0.0,0.0
40,0.0,2.0,4.0,1.0,1.0,33.0,,
41,1.0,2.0,4.0,1.0,1.0,33.0,0.0,0.0
42,2.0,2.0,4.0,1.0,1.0,33.0,0.0,0.0
43,3.0,2.0,4.0,1.0,1.0,33.0,0.0,0.0
44,0.0,2.0,5.0,1.0,1.0,33.0,,
45,1.0,2.0,5.0,1.0,1.0,33.0,0.0,0.0
46,2.0,2.0,5.0,1.0,1.0,33.0,0.0,0.0
47,3.0,2.0,5.0,1.0,1.0,33.0,0.0,0.0
48,0.0,2.0,6.0,1.0,1.0,33.0,,
49,1.0,2.0,6.0,1.0,1.0,33.0,0.0,0.0
50,2.0,2.0,6.0,1.0,1.0,33.0,0.0,0.0
51,3.0,2.0,6.0,1.0,1.0,33.0,0.0,0.0
52,0.0,2.0,7.0,1.0,1.0,33.0,,
53,1.0,2.0,7.0,1.0,1.0,33.0,453575.15,0.0
54,2.0,2.0,7.0,1.0,1.0,33.0,473011.46,0.0
55,3.0,2.0,7.0,1.0,1.0,33.0,492153.91,0.0
56,0.0,3.0,1.0,1.0,1.0,432.0,,
57,1.0,3.0,1.0,1.0,1.0,432.0,0.0,0.0
58,2.0,3.0,1.0,1.0,1.0,432.0,0.0,0.0
59,3.0,3.0,1.0,1.0,1.0,432.0,0.0,0.0
60,0.0,3.0,2.0,1.0,1.0,432.0,,
61,1.0,3.0,2.0,1.0,1.0,432.0,0.0,0.0
62,2.0,3.0,2.0,1.0,1.0,432.0,0.0,0.0
63,3.0,3.0,2.0,1.0,1.0,432.0,0.0,0.0
64,0.0,3.0,3.0,1.0,1.0,432.0,,
65,1.0,3.0,3.0,1.0,1.0,432.0,0.0,0.0
66,2.0,3.0,3.0,1.0,1.0,432.0,0.0,0.0
67,3.0,3.0,3.0,1.0,1.0,432.0,0.0,0.0
68,0.0,3.0,4.0,1.0,1.0,432.0,,
69,1.0,3.0,4.0,1.0,1.0,432.0,0.0,0.0
70,2.0,3.0,4.0,1.0,1.0,432.0,0.0,0.0
71,3.0,3.0,4.0,1.0,1.0,432.0,0.0,0.0
72,0.0,3.0,5.0,1.0,1.0,432.0,,
73,1.0,3.0,5.0,1.0,1.0,432.0,0.0,0.0
74,2.0,3.0,5.0,1.0,1.0,432.0,0.0,0.0
75,3.0,3.0,5.0,1.0,1.0,432.0,0.0,0.0
76,0.0,3.0,6.0,1.0,1.0,432.0,,
77,1.0,3.0,6.0,1.0,1.0,432.0,0.0,0.0
78,2.0,3.0,6.0,1.0,1.0,432.0,0.0,0.0
79,3.0,3.0,6.0,1.0,1.0,432.0,0.0,0.0
80,0.0,3.0,7.0,1.0,1.0,432.0,,
81,1.0,3.0,7.0,1.0,1.0,432.0,0.0,0.0
82,2.0,3.0,7.0,1.0,1.0,432.0,0.0,0.0
83,3.0,3.0,7.0,1.0,1.0,432.0,0.0,0.0
84,0.0,4.0,1.0,1.0,1.0,31.0,,
85,1.0,4.0,1.0,1.0,1.0,31.0,0.0,0.0
86,2.0,4.0,1.0,1.0,1.0,31.0,0.0,0.0
87,3.0,4.0,1.0,1.0,1.0,31.0,0.0,0.0
88,0.0,4.0,2.0,1.0,1.0,31.0,,
89,1.0,4.0,2.0,1.0,1.0,31.0,0.0,0.0
90,2.0,4.0,2.0,1.0,1.0,31.0,0.0,0.0
91,3.0,4.0,2.0,1.0,1.0,31.0,0.0,0.0
92,0.0,4.0,3.0,1.0,1.0,31.0,,
93,1.0,4.0,3.0,1.0,1.0,31.0,0.0,0.0
94,2.0,4.0,3.0,1.0,1.0,31.0,0.0,0.0
95,3.0,4.0,3.0,1.0,1.0,31.0,0.0,0.0
96,0.0,4.0,4.0,1.0,1.0,31.0,,
97,1.0,4.0,4.0,1.0,1.0,31.0,415488.1,0.0
